published,post_id
2008-01-01 18:19:00,18284
2008-01-01 18:30:00,18285
2008-01-01 18:34:00,18286
2008-01-02 01:32:00,18291
2008-01-02 14:34:00,18294
2008-01-02 16:14:00,18295
2008-01-03 12:55:00,18306
2008-01-03 17:20:00,18311
2008-01-03 22:54:00,31352
2008-01-03 23:56:00,18314
2008-01-04 00:48:00,18316
2008-01-04 01:23:00,18318
2008-01-04 13:39:00,18323
2008-01-04 18:44:00,18328
2008-01-04 18:48:00,18329
2008-01-04 19:04:00,35218
2008-01-04 20:41:00,18332
2008-01-04 23:07:00,18333
2008-01-04 23:18:00,18334
2008-01-04 23:22:00,18335
2008-01-04 23:28:00,18336
2008-01-04 23:30:00,18337
2008-01-04 23:33:00,18339
2008-01-04 23:37:00,18341
2008-01-05 13:10:00,18349
2008-01-05 17:26:00,18356
2008-01-05 20:33:00,18362
2008-01-05 21:43:00,18363
2008-01-06 02:48:00,18367
2008-01-06 11:29:00,31353
2008-01-06 13:14:00,31354
2008-01-06 14:25:00,18374
2008-01-06 15:05:00,18375
2008-01-06 18:03:00,18380
2008-01-06 18:03:00,18381
2008-01-07 01:16:00,18391
2008-01-07 01:38:00,18392
2008-01-07 04:24:00,18396
2008-01-07 06:13:00,18397
2008-01-07 06:32:00,18398
2008-01-07 12:04:00,18401
2008-01-07 13:27:00,18402
2008-01-07 15:15:00,18404
2008-01-07 15:25:00,18407
2008-01-07 17:22:00,18408
2008-01-07 17:49:00,18409
2008-01-07 18:18:00,18410
2008-01-07 18:53:00,18412
2008-01-07 19:13:00,18413
2008-01-07 20:10:00,18416
2008-01-07 20:13:00,18417
2008-01-07 21:54:00,18419
2008-01-08 01:00:00,18423
2008-01-08 01:18:00,18425
2008-01-08 04:22:00,18428
2008-01-08 06:13:00,18429
2008-01-08 14:52:00,18437
2008-01-08 18:09:00,18444
2008-01-08 20:06:00,18447
2008-01-08 23:42:00,18452
2008-01-09 04:23:00,18456
2008-01-09 04:49:00,18457
2008-01-09 12:45:00,18460
2008-01-09 14:09:00,18467
2008-01-09 14:14:00,18468
2008-01-09 15:27:00,18471
2008-01-09 15:35:00,18472
2008-01-09 16:24:00,18474
2008-01-09 16:26:00,18475
2008-01-09 16:50:00,18477
2008-01-09 20:31:00,18483
2008-01-09 21:21:00,18485
2008-01-09 21:58:00,18486
2008-01-09 22:35:00,18488
2008-01-09 23:01:00,18489
2008-01-10 00:39:00,18493
2008-01-10 02:51:00,18498
2008-01-10 05:54:00,18501
2008-01-10 10:38:00,18504
2008-01-10 11:42:00,18506
2008-01-10 12:41:00,18507
2008-01-10 12:50:00,18509
2008-01-10 13:26:00,18510
2008-01-10 14:20:00,18512
2008-01-10 14:43:00,18513
2008-01-10 15:08:00,18517
2008-01-10 15:09:00,18518
2008-01-10 17:11:00,18521
2008-01-10 19:21:00,18525
2008-01-10 19:29:00,18526
2008-01-10 19:54:00,18529
2008-01-10 21:08:00,18535
2008-01-10 22:22:00,18537
2008-01-10 22:55:00,18541
2008-01-10 22:57:00,18542
2008-01-11 00:23:00,18545
2008-01-11 00:23:00,18544
2008-01-11 00:51:00,31357
2008-01-11 02:49:00,18551
2008-01-11 03:03:00,18553
2008-01-11 10:42:00,18560
2008-01-11 11:48:00,18563
2008-01-11 12:09:00,18564
2008-01-11 12:13:00,18565
2008-01-11 12:34:00,18570
2008-01-11 13:21:00,18571
2008-01-11 14:52:00,18574
2008-01-11 16:05:00,18578
2008-01-11 16:38:00,18579
2008-01-11 17:07:00,18582
2008-01-11 18:21:00,18588
2008-01-11 18:29:00,18589
2008-01-11 20:47:00,18595
2008-01-11 23:52:00,18599
2008-01-12 00:29:00,18600
2008-01-12 00:50:00,18602
2008-01-12 12:12:00,18611
2008-01-12 13:13:00,18613
2008-01-12 13:19:00,18614
2008-01-12 13:26:00,18615
2008-01-12 15:21:00,31359
2008-01-12 15:21:00,35229
2008-01-12 16:06:00,31360
2008-01-12 17:04:00,18626
2008-01-12 17:18:00,18627
2008-01-12 19:43:00,18630
2008-01-12 20:15:00,18631
2008-01-12 23:14:00,18639
2008-01-13 00:51:00,18644
2008-01-13 11:55:00,18654
2008-01-13 13:01:00,18655
2008-01-13 14:55:00,18658
2008-01-13 15:08:00,18660
2008-01-13 16:41:00,18663
2008-01-13 16:56:00,18664
2008-01-13 22:58:00,18676
2008-01-13 23:12:00,18677
2008-01-14 04:05:00,31363
2008-01-14 04:11:00,18682
2008-01-14 04:31:00,18683
2008-01-14 05:14:00,18684
2008-01-14 07:06:00,18686
2008-01-14 10:33:00,18690
2008-01-14 11:17:00,18693
2008-01-14 12:08:00,18695
2008-01-14 13:10:00,18696
2008-01-14 13:52:00,18699
2008-01-14 14:58:00,18700
2008-01-14 15:06:00,18701
2008-01-14 15:59:00,18703
2008-01-14 19:19:00,31364
2008-01-14 19:22:00,18712
2008-01-14 19:56:00,18713
2008-01-14 20:59:00,18716
2008-01-14 21:01:00,18717
2008-01-14 22:05:00,287784
2008-01-14 22:22:00,18721
2008-01-15 00:48:00,18730
2008-01-15 00:55:00,31365
2008-01-15 01:07:00,18732
2008-01-15 01:21:00,35233
2008-01-15 02:41:00,18734
2008-01-15 03:34:00,287146
2008-01-15 07:02:00,18741
2008-01-15 10:10:00,18743
2008-01-15 11:45:00,18747
2008-01-15 11:46:00,18748
2008-01-15 13:02:00,18754
2008-01-15 14:07:00,18757
2008-01-15 14:27:00,18759
2008-01-15 14:52:00,18761
2008-01-15 15:24:00,18765
2008-01-15 17:01:00,18770
2008-01-15 17:27:00,18774
2008-01-15 17:36:00,18775
2008-01-15 17:37:00,35235
2008-01-15 22:33:00,18785
2008-01-15 22:51:00,18786
2008-01-15 23:35:00,18787
2008-01-16 00:30:00,31367
2008-01-16 00:36:00,35236
2008-01-16 00:50:00,35237
2008-01-16 00:52:00,18791
2008-01-16 01:11:00,18792
2008-01-16 06:48:00,18799
2008-01-16 12:09:00,18805
2008-01-16 13:36:00,18808
2008-01-16 14:21:00,18810
2008-01-16 15:23:00,18814
2008-01-16 15:50:00,18816
2008-01-16 16:12:00,18819
2008-01-16 17:06:00,18822
2008-01-16 17:08:00,18823
2008-01-16 17:12:00,18824
2008-01-16 17:15:00,18825
2008-01-16 17:45:00,18827
2008-01-16 18:13:00,18830
2008-01-16 18:24:00,18831
2008-01-16 18:50:00,18833
2008-01-16 19:10:00,18834
2008-01-16 22:20:00,18839
2008-01-17 00:09:00,18845
2008-01-17 01:38:00,18847
2008-01-17 01:40:00,18848
2008-01-17 01:58:00,18850
2008-01-17 02:09:00,18851
2008-01-17 03:32:00,18856
2008-01-17 03:52:00,18859
2008-01-17 04:26:00,31368
2008-01-17 04:29:00,18860
2008-01-17 06:05:00,18861
2008-01-17 11:16:00,18870
2008-01-17 12:02:00,18873
2008-01-17 12:16:00,18874
2008-01-17 14:01:00,18878
2008-01-17 14:09:00,18880
2008-01-17 14:12:00,18881
2008-01-17 14:37:00,18884
2008-01-17 14:55:00,18885
2008-01-17 16:25:00,18891
2008-01-17 19:55:00,18900
2008-01-17 20:33:00,18903
2008-01-17 22:38:00,18906
2008-01-18 00:21:00,18911
2008-01-18 01:41:00,18913
2008-01-18 04:14:00,18917
2008-01-18 04:53:00,18919
2008-01-18 06:07:00,18921
2008-01-18 09:42:00,18924
2008-01-18 10:39:00,18928
2008-01-18 13:48:00,18943
2008-01-18 13:50:00,18944
2008-01-18 14:44:00,35243
2008-01-18 15:11:00,18952
2008-01-18 15:21:00,18954
2008-01-18 16:34:00,18963
2008-01-18 16:40:00,18964
2008-01-18 17:10:00,18966
2008-01-18 21:15:00,18977
2008-01-18 21:21:00,18978
2008-01-18 23:08:00,254324
2008-01-18 23:16:00,18981
2008-01-19 11:05:00,18991
2008-01-19 12:28:00,18992
2008-01-19 13:30:00,18993
2008-01-19 13:49:00,18995
2008-01-19 14:26:00,18997
2008-01-19 14:34:00,18998
2008-01-19 18:24:00,19003
2008-01-19 19:10:00,19005
2008-01-19 19:21:00,19006
2008-01-19 19:47:00,19007
2008-01-19 20:15:00,19008
2008-01-19 21:56:00,19009
2008-01-19 23:10:00,19014
2008-01-20 00:10:00,19017
2008-01-20 00:57:00,19019
2008-01-20 01:19:00,31374
2008-01-20 04:44:00,19026
2008-01-20 05:24:00,19028
2008-01-20 12:37:00,19033
2008-01-20 14:16:00,19034
2008-01-20 15:45:00,19036
2008-01-20 16:07:00,19037
2008-01-20 18:26:00,19040
2008-01-20 21:46:00,35249
2008-01-20 22:09:00,31375
2008-01-20 22:28:00,19052
2008-01-20 22:55:00,35251
2008-01-20 23:27:00,19054
2008-01-20 23:37:00,31376
2008-01-21 00:27:00,19059
2008-01-21 01:32:00,19062
2008-01-21 02:22:00,19063
2008-01-21 09:51:00,19071
2008-01-21 10:19:00,19073
2008-01-21 10:45:00,19076
2008-01-21 11:57:00,19081
2008-01-21 11:59:00,19082
2008-01-21 12:25:00,19085
2008-01-21 13:08:00,19089
2008-01-21 13:13:00,19090
2008-01-21 13:18:00,19091
2008-01-21 14:48:00,19095
2008-01-21 15:27:00,19098
2008-01-21 15:34:00,19099
2008-01-21 16:33:00,19102
2008-01-21 17:02:00,19104
2008-01-21 17:22:00,19107
2008-01-21 21:31:00,19113
2008-01-21 21:47:00,19114
2008-01-21 22:04:00,19115
2008-01-21 23:34:00,287472
2008-01-22 00:57:00,19123
2008-01-22 09:33:00,19137
2008-01-22 12:03:00,19146
2008-01-22 12:20:00,19148
2008-01-22 13:12:00,19152
2008-01-22 13:19:00,19155
2008-01-22 13:59:00,19157
2008-01-22 14:07:00,19158
2008-01-22 14:42:00,19162
2008-01-22 15:07:00,19164
2008-01-22 15:33:00,19166
2008-01-22 15:37:00,19167
2008-01-22 15:37:00,19168
2008-01-22 15:52:00,19169
2008-01-22 17:05:00,19172
2008-01-22 17:07:00,19173
2008-01-22 17:47:00,35258
2008-01-22 18:52:00,19181
2008-01-22 20:54:00,19187
2008-01-22 21:14:00,19188
2008-01-22 21:30:00,19189
2008-01-22 22:58:00,19191
2008-01-22 23:41:00,19194
2008-01-23 21:04:00,288126
2008-01-23 21:54:00,19211
2008-01-23 22:19:00,19213
2008-01-23 22:24:00,19214
2008-01-23 22:28:00,19215
2008-01-24 00:20:00,19217
2008-01-24 03:37:00,19220
2008-01-24 11:51:00,19227
2008-01-24 11:52:00,19228
2008-01-24 12:03:00,19230
2008-01-24 12:11:00,19231
2008-01-24 13:02:00,19234
2008-01-24 13:19:00,19236
2008-01-24 14:32:00,19240
2008-01-24 14:35:00,19241
2008-01-24 15:09:00,19243
2008-01-24 17:31:00,19250
2008-01-24 18:39:00,19252
2008-01-24 20:20:00,19256
2008-01-24 20:54:00,19258
2008-01-24 22:57:00,31381
2008-01-25 00:08:00,19263
2008-01-25 02:13:00,19267
2008-01-25 04:14:00,19270
2008-01-25 09:50:00,19274
2008-01-25 11:53:00,19276
2008-01-25 13:25:00,19283
2008-01-25 15:34:00,19293
2008-01-25 16:12:00,19295
2008-01-25 16:26:00,19296
2008-01-25 16:33:00,31382
2008-01-25 17:01:00,19299
2008-01-25 17:01:00,19298
2008-01-25 17:09:00,19300
2008-01-25 17:13:00,31383
2008-01-25 17:15:00,19301
2008-01-25 17:27:00,31384
2008-01-25 17:29:00,19302
2008-01-25 18:40:00,19306
2008-01-25 23:52:00,19318
2008-01-26 00:07:00,19319
2008-01-26 02:24:00,19320
2008-01-26 03:37:00,31385
2008-01-26 10:14:00,19328
2008-01-27 10:53:00,19344
2008-01-27 11:01:00,35263
2008-01-27 14:23:00,19349
2008-01-27 15:46:00,19352
2008-01-27 15:49:00,19353
2008-01-27 16:36:00,19354
2008-01-27 18:30:00,19357
2008-01-27 18:33:00,19359
2008-01-27 18:40:00,19360
2008-01-27 20:19:00,19362
2008-01-27 23:14:00,19367
2008-01-27 23:54:00,287474
2008-01-28 06:01:00,19377
2008-01-28 10:16:00,19381
2008-01-28 15:08:00,19386
2008-01-28 16:26:00,19389
2008-01-28 16:47:00,19391
2008-01-28 17:47:00,19395
2008-01-28 19:03:00,19399
2008-01-28 19:30:00,287148
2008-01-28 20:05:00,19403
2008-01-29 00:07:00,19414
2008-01-29 06:33:00,19423
2008-01-29 10:11:00,19426
2008-01-29 11:25:00,19438
2008-01-29 11:41:00,19439
2008-01-29 15:38:00,19447
2008-01-29 15:43:00,19448
2008-01-29 16:34:00,19457
2008-01-29 16:54:00,19460
2008-01-29 17:11:00,19463
2008-01-29 18:40:00,19468
2008-01-29 19:35:00,19471
2008-01-29 19:49:00,19472
2008-01-29 20:34:00,19474
2008-01-29 23:12:00,19482
2008-01-30 00:13:00,19485
2008-01-30 00:21:00,19486
2008-01-30 00:27:00,19487
2008-01-30 01:07:00,19488
2008-01-30 01:58:00,19489
2008-01-30 10:45:00,19495
2008-01-30 11:35:00,19499
2008-01-30 12:09:00,19504
2008-01-30 14:07:00,19509
2008-01-30 14:26:00,19511
2008-01-30 14:45:00,19514
2008-01-30 15:01:00,19516
2008-01-30 16:05:00,19518
2008-01-30 17:54:00,19521
2008-01-30 18:24:00,287476
2008-01-30 18:52:00,19526
2008-01-30 21:47:00,19532
2008-01-30 22:55:00,19536
2008-01-31 01:50:00,19545
2008-01-31 02:21:00,19547
2008-01-31 03:25:00,31391
2008-01-31 05:55:00,19548
2008-01-31 09:23:00,19551
2008-01-31 10:36:00,31392
2008-01-31 10:47:00,31393
2008-01-31 11:41:00,19555
2008-01-31 13:02:00,19559
2008-01-31 13:29:00,19560
2008-01-31 13:41:00,19561
2008-01-31 14:34:00,19564
2008-01-31 15:05:00,19565
2008-01-31 15:56:00,19571
2008-01-31 16:24:00,19573
2008-01-31 18:00:00,35269
2008-01-31 20:10:00,19585
2008-01-31 20:44:00,19587
2008-01-31 20:58:00,19588
2008-01-31 23:07:00,19595
2008-01-31 23:38:00,19596
2008-02-01 01:11:00,288574
2008-02-01 02:12:00,19603
2008-02-01 02:35:00,19604
2008-02-01 04:29:00,19606
